City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,coahuayana de hidalgo,18.7,-103.6583,23.1,86,37,0.94,MX,1715485006
167,invercargill,-46.4,168.35,11.68,89,98,1.79,NZ,1715485006
168,florencia,43.7667,11.25,17.12,84,0,1.54,IT,1715485007
169,bubaque,11.2833,-15.8333,26.45,76,22,6.44,GW,1715485007
170,puerto natales,-51.7236,-72.4875,1.58,98,100,2.1,CL,1715485007
171,sotik post,-0.7813,35.3416,12.9,98,94,1.54,KE,1715484832
172,baia mare,47.6533,23.5795,9.71,100,75,1.54,RO,1715485008
173,zuni pueblo,35.0725,-108.8506,11.35,37,85,5.66,US,1715485008
174,zeya,53.75,127.2667,11.38,40,85,3.02,RU,1715485008
175,siping,43.1633,124.3686,17.07,31,75,6.25,CN,1715485008
176,shache,38.4167,77.2406,25.8,9,100,3.22,CN,1715485008
177,port elizabeth,-33.918,25.5701,11.29,76,0,3.09,ZA,1715485008
178,ta`u,-14.2336,-169.5144,27.53,82,100,9.82,AS,1715485009
179,sao paulo de olivenca,-3.3783,-68.8725,25.15,89,99,1.16,BR,1715485009
180,taoudenni,22.6783,-3.9836,31.05,9,81,3.13,ML,1715485009
181,ust-nera,64.5667,143.2,1.67,47,74,3.44,RU,1715485009
182,saint-pierre,-21.3393,55.4781,20.82,64,20,2.06,RE,1715485009
183,okha,53.5739,142.9478,0.14,85,100,1.34,RU,1715484795
184,warmbad,-28.45,18.7333,14.16,50,0,3.4,NA,1715485010
185,karratha,-20.7377,116.8463,29.59,30,10,8.06,AU,1715484632
186,carnarvon,-24.8667,113.6333,28.83,31,100,4.61,AU,1715485010
187,troitskaya,43.3056,44.9789,14.01,91,94,2.24,RU,1715485010
188,broome,42.2506,-75.833,11.46,84,100,3.6,US,1715485010
189,labrador city,52.9463,-66.9114,3.99,60,0,3.6,CA,1715485011
190,sao joao del rei,-21.1356,-44.2617,17.32,77,0,0.72,BR,1715485011
191,semnan,35.5729,53.3971,21.64,26,5,1.31,IR,1715485011
192,happy valley-goose bay,53.3168,-60.3315,6.17,61,20,1.54,CA,1715485011
193,cardenas,23.0375,-81.2047,24.42,84,18,1.76,CU,1715484751
194,mapastepec,15.4333,-92.9,27.4,76,80,1.21,MX,1715485011
195,tamanrasset,22.785,5.5228,21.95,15,0,2.57,DZ,1715485012
196,port alfred,-33.5906,26.891,13.54,82,4,5.23,ZA,1715485013
197,mawlamyinegyunn,16.3833,95.2667,36.36,39,51,1.91,MM,1715484933
198,kavieng,-2.5744,150.7967,29.27,75,84,2.46,PG,1715485013
199,ma'an,26.9775,110.7211,22.42,73,100,1.03,CN,1715485013
200,aykhal,66.0,111.5,-3.05,89,100,9.76,RU,1715485013
201,norilsk,69.3535,88.2027,-3.1,90,100,5.64,RU,1715485014
202,hovd,48.0056,91.6419,26.97,8,99,3.89,MN,1715484836
203,ca mau,9.1769,105.15,34.64,49,94,4.1,VN,1715484909
204,kolwezi,-10.7148,25.4667,15.19,88,44,1.68,CD,1715485014
205,ancud,-41.8697,-73.8203,6.44,82,98,2.12,CL,1715485014
206,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715484833
207,adigrat,14.277,39.462,17.16,62,25,1.76,ET,1715485015
208,kununurra,-15.7667,128.7333,29.99,42,3,5.14,AU,1715484924
209,kunashak,55.7032,61.5498,11.72,57,100,9.81,RU,1715485015
210,olonkinbyen,70.9221,-8.7187,0.4,97,100,7.78,SJ,1715485015
211,dazhou,31.2159,107.5009,25.04,59,97,2.29,CN,1715484948
212,antsiranana,-12.2787,49.2917,24.42,83,75,6.17,MG,1715485016
213,la'ie,21.6477,-157.9253,24.47,77,51,2.68,US,1715485016
214,alice springs,-23.7,133.8833,20.75,32,7,6.69,AU,1715485016
215,taroa,8.7058,171.2275,27.25,83,99,5.11,MH,1715485016
216,revelstoke,50.9832,-118.2023,21.01,32,0,3.09,CA,1715485016
217,pangai,-19.8,-174.35,26.06,65,75,7.2,TO,1715485016
218,nuevo ideal,24.8875,-105.0728,20.0,23,95,4.03,MX,1715485016
219,kapit,2.0167,112.9333,33.5,54,83,0.82,MY,1715485017
220,east london,-33.0153,27.9116,14.52,62,0,4.63,ZA,1715485017
221,ghat,24.9647,10.1728,21.43,25,0,1.58,LY,1715484792
222,summerland,49.5998,-119.6691,26.1,15,40,3.6,CA,1715485017
223,yerofey pavlovich,53.9667,121.9667,11.83,24,4,4.03,RU,1715485017
224,hamilton,39.1834,-84.5333,13.88,73,0,2.06,US,1715485018
225,fuli,46.7217,131.1394,8.08,83,100,5.72,CN,1715484847
226,nova sintra,14.8667,-24.7167,20.99,78,89,6.7,CV,1715485018
227,gargalianoi,37.0667,21.6333,11.86,75,57,0.91,GR,1715485018
228,kingston,17.997,-76.7936,28.53,79,40,5.14,JM,1715485018
229,papao,-17.75,-149.55,28.82,78,0,6.5,PF,1715485019
230,kendari,-3.945,122.4989,29.53,73,89,1.68,ID,1715484887
231,geraldton,-28.7667,114.6,31.23,14,100,9.77,AU,1715484661
232,les cayes,18.2,-73.75,25.88,86,48,1.56,HT,1715485019
233,jayapura,-2.5333,140.7,32.66,82,97,3.32,ID,1715485019
234,snowflake,34.5134,-110.0785,12.64,45,99,2.24,US,1715485019
235,nabire,-3.3667,135.4833,29.23,80,72,2.09,ID,1715485019
236,tralee,52.2704,-9.7026,12.13,90,100,0.9,IE,1715485020
237,dryden,49.7833,-92.7503,15.16,47,100,4.63,CA,1715485020
238,keflavik,64.0049,-22.5624,8.24,87,75,8.75,IS,1715485020
239,axim,4.8699,-2.2405,26.87,88,93,2.34,GH,1715485020
240,plastun,44.7561,136.2939,13.61,74,69,2.54,RU,1715485020
241,brandon,27.9378,-82.2859,26.03,78,0,0.45,US,1715485021
242,nishinoomote,30.7333,131.0,22.31,94,75,4.63,JP,1715484928
243,fale old settlement,-9.3852,-171.2468,29.2,74,79,5.1,TK,1715485021
244,truth or consequences,33.1284,-107.2528,22.13,11,0,4.12,US,1715485021
245,bandrele,-12.9067,45.1914,27.86,78,100,6.69,YT,1715485021
246,margate,51.3813,1.3862,15.17,86,99,5.35,GB,1715485021
247,vila franca do campo,37.7167,-25.4333,18.27,99,17,1.78,PT,1715485022
248,mount gambier,-37.8333,140.7667,19.54,48,98,2.18,AU,1715485022
249,markala,13.7021,-6.0659,33.34,30,46,4.66,ML,1715485022
250,bowen,-20.0167,148.2333,25.89,60,24,6.17,AU,1715485022
251,howrah,22.5892,88.3103,29.0,74,40,2.57,IN,1715484928
252,shuangcheng,45.35,126.2833,10.82,47,97,5.12,CN,1715485023
253,san martin,-33.081,-68.4681,11.3,44,85,4.6,AR,1715485023
254,tobelo,1.7284,128.0095,30.23,60,95,2.88,ID,1715484781
255,key west,24.5557,-81.7826,30.0,81,0,3.6,US,1715484953
256,fortuna,40.5982,-124.1573,13.29,93,100,3.09,US,1715485024
